"To begin, please select your name.",29,31,22,13,33,34,27,24,28,9,26,35,1,19,16,7,6,32,23,2,25,3,20,18,36,11,15,17,21,4,10,12,5,30,14,8,V38,V39,V40,V41,V42
30,Slightly Trust  5,Extremely Trust  7,I don't know this person.,Neither Distrust Nor Trust  4,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,I don't know this person.,Slightly Trust  5,Extremely Trust  7,I don't know this person.,Slightly Distrust  3,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,Trust  6,,,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Neither Distrust Nor Trust  4,I don't know this person.,Extremely Trust  7,Trust  6,Slightly Trust  5,Slightly Trust  5,I don't know this person.,Extremely Trust  7,Extremely Trust  7,Extremely Trust  7,This is my own name.,Extremely Trust  7,Extremely Trust  7,34,1,19,16,10
20,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,,,Neither Distrust Nor Trust  4,Extremely Trust  7,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,Extremely Trust  7,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,21,2,4,27,36
18,Distrust  2,Extremely Distrust  1,I don't know this person.,Slightly Distrust  3,Trust  6,Extremely Distrust  1,Extremely Distrust  1,I don't know this person.,Trust  6,Slightly Trust  5,I don't know this person.,Extremely Distrust  1,Extremely Distrust  1,Extremely Distrust  1,I don't know this person.,Slightly Trust  5,I don't know this person.,,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,Slightly Trust  5,Distrust  2,Slightly Distrust  3,Slightly Distrust  3,I don't know this person.,I don't know this person.,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,8,33,11,17,5
25,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,15,8,11,5,16
10,Slightly Trust  5,Trust  6,I don't know this person.,Slightly Distrust  3,Slightly Trust  5,Slightly Distrust  3,Slightly Trust  5,I don't know this person.,Extremely Trust  7,Trust  6,I don't know this person.,Slightly Trust  5,Slightly Trust  5,Trust  6,Slightly Trust  5,Slightly Trust  5,,,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,Trust  6,Trust  6,Slightly Trust  5,I don't know this person.,This is my own name.,Slightly Distrust  3,Trust  6,Slightly Trust  5,Slightly Trust  5,Trust  6,15,8,28,35,19
9,Trust  6,Extremely Trust  7,I don't know this person.,Trust  6,Extremely Trust  7,Slightly Trust  5,Trust  6,I don't know this person.,Slightly Trust  5,This is my own name.,Slightly Trust  5,Trust  6,Neither Distrust Nor Trust  4,Slightly Trust  5,Slightly Trust  5,Slightly Trust  5,I don't know this person.,,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Trust  6,Trust  6,Trust  6,I don't know this person.,Trust  6,I don't know this person.,Trust  6,Neither Distrust Nor Trust  4,Slightly Trust  5,Trust  6,Extremely Trust  7,Extremely Trust  7,15,21,8,33,31
28,Slightly Trust  5,Trust  6,I don't know this person.,Extremely Trust  7,Trust  6,Trust  6,Trust  6,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,Slightly Distrust  3,Slightly Trust  5,Slightly Trust  5,Slightly Trust  5,Trust  6,,,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,Slightly Trust  5,Trust  6,Trust  6,Trust  6,I don't know this person.,Extremely Trust  7,Neither Distrust Nor Trust  4,Trust  6,I don't know this person.,Slightly Trust  5,Trust  6,8,33,27,17,10
3,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,,,I don't know this person.,I don't know this person.,I don't know this person.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,34,20,2,29,19
2,I don't know this person.,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,,,Trust  6,This is my own name.,I don't know this person.,I don't know this person.,Extremely Trust  7,I don't know this person.,Extremely Trust  7,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,20,22,4,36,26
26,I don't know this person.,I don't know this person.,Slightly Trust  5,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,Trust  6,I don't know this person.,I don't know this person.,This is my own name.,This is my own name.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,,,Slightly Trust  5,Trust  6,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Trust  6,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,I don't know this person.,Slightly Trust  5,20,2,8,27,36
